audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh_and_over_howler_spider,PrimateSpecies,CallDistance
HARPIA_20130212_071500.wav,-0.1,-2.693333333,-2.625,4.065,2.693333333,0.714,0,0,NA
HARPIA_20130212_073000.wav,-3.19,-4.7,-3.449,3.85,4.95,2.67,0,0,NA
HARPIA_20130212_074500.wav,-1.04,-3.79,-3.744,2.995,4.623333333,0.995,0,0,NA
HARPIA_20130212_080000.wav,-6.46,-5.566666667,-3.369,3.21,6.733333333,2.722,0,0,NA
HARPIA_20130213_054500.wav,-0.255,-2.873333333,-1.831,2.695,3.67,0.937,0,0,NA
HARPIA_20130213_063000.wav,0.59,-2.72,-2.203,3.35,4.653333333,0.831,0,0,NA
HARPIA_20130213_064500.wav,0.355,-2.873333333,-2.702,3.36,4.653333333,0.64,0,0,NA
HARPIA_20130213_070000.wav,0.185,-2.75,-2.562,2.86,4.47,0.779,0,0,NA
HARPIA_20130213_071500.wav,0.075,-2.84,-2.359,3.14,4.356666667,0.699,0,0,NA
HARPIA_20130213_073000.wav,-0.62,-3.306666667,-2.216,2.575,3.84,0.65,0,0,NA
HARPIA_20130213_074500.wav,-0.515,-3.23,-1.858,2.18,3.916666667,0.807,0,0,NA
HARPIA_20130213_080000.wav,-0.625,-2.616666667,-2.253,2.815,3.27,0.48,0,0,NA
HARPIA_20130214_063000.wav,0.8,-2.336666667,-2.67,3.42,2.51,0.046,0,0,NA
HARPIA_20130214_071500.wav,0.225,-2.693333333,-2.391,3.13,3.776666667,0.46,0,0,NA
HARPIA_20130214_074500.wav,0.47,-2.783333333,-2.152,2.93,4.54,0.25,0,0,NA
HARPIA_20130214_080000.wav,-0.445,-3.816666667,-2.414,3.81,6.92,1.041,0,0,NA
HARPIA_20130215_063000.wav,0.005,-2.543333333,-3.049,3.91,3.28,0.8,0,0,NA
HARPIA_20130215_070000.wav,-1.74,-2.356666667,-1.86,4.075,1.863333333,1.125,0,0,NA
HARPIA_20130215_071500.wav,-1.39,-1.953333333,-0.365,0.22,1.9,1.095,0,0,NA
HARPIA_20130215_073000.wav,-1.27,-2.003333333,-1.246,2.41,2.093333333,1.057,0,0,NA
HARPIA_20130215_074500.wav,-1.355,-2.223333333,-0.788,0.725,2.293333333,1.246,0,0,NA
HARPIA_20130216_054500.wav,-0.805,-2.06,-0.885,0.935,1.963333333,0.822,0,0,NA
HARPIA_20130216_061500.wav,0,-2.28,-1.279,1.77,2.223333333,0.582,0,0,NA
HARPIA_20130216_063000.wav,-0.835,-2.12,-1.282,2.405,2.326666667,0.687,0,0,NA
HARPIA_20130216_064500.wav,-2.36,-2.06,-0.909,1.44,1.96,1.35,0,0,NA
HARPIA_20130216_070000.wav,-1.43,-1.71,-0.364,0.025,1.97,1.077,0,0,NA
HARPIA_20130216_071500.wav,-1.365,-1.73,-0.347,0.005,2.13,1.08,0,0,NA
HARPIA_20130216_073000.wav,-1.51,-1.793333333,-0.357,-0.03,1.926666667,1.07,0,0,NA
HARPIA_20130216_074500.wav,-1.325,-1.74,-0.494,0.295,2.136666667,0.988,0,0,NA
HARPIA_20130216_080000.wav,-1.395,-1.723333333,-0.312,0.065,1.873333333,1.022,0,0,NA
HARPIA_20130217_054500.wav,-0.235,-2.186666667,-1.141,1.885,2.19,0.662,0,0,NA
HARPIA_20130217_060000.wav,-0.045,-2.08,-1.468,2.33,1.996666667,0.532,0,0,NA
HARPIA_20130217_061500.wav,0.255,-1.94,-1.611,2.73,3.013333333,0.545,0,0,NA
HARPIA_20130217_063000.wav,0.54,-2.36,-1.585,2.785,2.566666667,0.724,0,0,NA
HARPIA_20130217_064500.wav,0.425,-2.083333333,-1.427,2.71,4.226666667,0.678,0,0,NA
HARPIA_20130217_070000.wav,-0.315,-2.786666667,-1.691,3.09,3.586666667,2.914,0,0,NA
HARPIA_20130217_071500.wav,-0.755,-2.323333333,-1.113,1.945,2.26,1.131,0,0,NA
HARPIA_20130217_073000.wav,-0.63,-2.206666667,-1.108,1.605,2.336666667,0.81,0,0,NA
HARPIA_20130217_074500.wav,-0.635,-2.796666667,-1.709,1.805,3.213333333,0.881,0,0,NA
HARPIA_20130217_080000.wav,-0.84,-3.5,-1.494,2.595,5.66,1.883,0,0,NA
HARPIA_20130218_054500.wav,-1.605,-1.973333333,-0.392,0,2.186666667,1.055,0,0,NA
HARPIA_20130218_060000.wav,-1.39,-1.866666667,-0.468,0.165,2.066666667,0.978,0,0,NA
HARPIA_20130218_061500.wav,-1.305,-1.716666667,-0.537,0.31,1.976666667,0.968,0,0,NA
HARPIA_20130218_063000.wav,-1.235,-1.936666667,-0.553,0.38,1.973333333,0.956,0,0,NA
HARPIA_20130218_064500.wav,-2.165,-2.09,-0.474,-0.045,3.123333333,1.831,0,0,NA
HARPIA_20130218_070000.wav,-3.055,-2.91,-0.984,0.29,3.926666667,2.567,0,0,NA
HARPIA_20130218_071500.wav,-1.555,-2.33,-0.711,0.37,2.733333333,1.234,0,0,NA
HARPIA_20130218_073000.wav,-1.835,-2.703333333,-1.219,0.47,2.606666667,1.567,0,0,NA
HARPIA_20130218_074500.wav,-1.745,-2.38,-0.993,0.81,3.276666667,1.592,0,0,NA
HARPIA_20130218_080000.wav,-0.915,-2.053333333,-0.901,1.225,2.32,1.022,0,0,NA
HARPIA_20130219_054500.wav,-1.16,-2.59,-1.211,1.55,3.173333333,1.478,0,0,NA
HARPIA_20130219_061500.wav,-0.025,-2.066666667,-1.246,2.055,2.25,0.563,0,0,NA
HARPIA_20130219_063000.wav,-0.515,-2.093333333,-1.357,1.715,2.103333333,0.679,0,0,NA
HARPIA_20130219_064500.wav,0.225,-2.276666667,-1.209,2.085,2.21,0.792,0,0,NA
HARPIA_20130219_070000.wav,-0.495,-2.253333333,-0.977,1.3,2.086666667,0.803,0,0,NA
HARPIA_20130219_071500.wav,-1.84,-2.016666667,-0.917,1.305,2.01,1.121,0,0,NA
HARPIA_20130219_073000.wav,-1.4,-1.94,-0.444,0.105,1.993333333,1.029,0,0,NA
HARPIA_20130219_074500.wav,-1.355,-1.92,-0.479,0.125,2.123333333,1.022,0,0,NA
HARPIA_20130219_080000.wav,-1.37,-1.8,-0.372,0.12,1.903333333,0.997,0,0,NA
HARPIA_20130220_054500.wav,-1.695,-1.773333333,-0.398,0.085,1.966666667,1.086,0,0,NA
HARPIA_20130220_060000.wav,-1.46,-1.84,-0.434,0.125,2.016666667,0.992,0,0,NA
HARPIA_20130220_061500.wav,-1.35,-1.936666667,-0.471,0.145,1.98,1.005,0,0,NA
HARPIA_20130220_063000.wav,-1.335,-1.906666667,-0.464,0.155,2.08,1.046,0,0,NA
HARPIA_20130220_064500.wav,-1.33,-1.906666667,-0.495,0.07,2.063333333,0.977,0,0,NA
HARPIA_20130220_070000.wav,-1.46,-2.116666667,-0.6,0.23,2.05,1.078,0,0,NA
HARPIA_20130220_071500.wav,-1.77,-2.146666667,-0.512,0.255,2.006666667,1.091,0,0,NA
HARPIA_20130220_073000.wav,-1.425,-1.996666667,-0.538,0.2,2.033333333,1.016,0,0,NA
HARPIA_20130220_074500.wav,-1.51,-1.996666667,-0.511,0.185,1.98,0.994,0,0,NA
HARPIA_20130220_080000.wav,-1.465,-1.853333333,-0.509,0.305,2.053333333,1.056,0,0,NA
HARPIA_20130221_054500.wav,-1.545,-1.993333333,-0.549,0.155,2.17,1.014,0,0,NA
HARPIA_20130221_060000.wav,-1.465,-2.143333333,-0.678,0.445,2.296666667,1.723,0,0,NA
HARPIA_20130221_061500.wav,-1.72,-2.133333333,-1.909,0.755,2.313333333,0.935,0,0,NA
HARPIA_20130221_063000.wav,-1.27,-1.653333333,-0.403,0.3,1.873333333,1.006,0,0,NA
HARPIA_20130221_064500.wav,-1.36,-1.613333333,-0.422,0.165,1.88,1.021,0,0,NA
HARPIA_20130221_070000.wav,-1.505,-1.75,-0.438,-0.045,2.03,1.052,0,0,NA
HARPIA_20130221_071500.wav,-1.49,-1.846666667,-0.542,0.09,2.073333333,1.033,0,0,NA
HARPIA_20130221_073000.wav,-2.165,-2.31,-0.982,0.52,3.103333333,1.654,0,0,NA
HARPIA_20130221_074500.wav,-1.605,-2.07,-0.614,1.115,2.33,1.045,0,0,NA
