audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,AutomatedDetection_titi_over_thresh_and_over_howler,ManualDetectionPrimateSpecies,CallDistance,low_freq_signal,high_freq_signal,start_signal,end_signal,inband_power_signal,low_freq_noise,high_freq_noise,start_noise,end_noise,inband_power_noise,Comments
HARPIA_20160203_070000.wav,"E:/For Sun - Full test dataset/Harpia 2016/1, 800/3 Feb/HARPIA_20160203_070000.wav",-1.27,-3.693333333,-2.442,2.865,6.216666667,3.446,0,1,4,,,,,,,,,,,
HARPIA_20170213_071500.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, -50/13 feb/HARPIA_20170213_071500.wav",-1.28,-3.163333333,-3.098,4.445,3.413333333,0.11,0,1,4,,,,,,,,,,,
HARPIA_20170215_064500.wav,"E:/For Sun - Full test dataset/Harpia 2017/2, 200/15 feb/HARPIA_20170215_064500.wav",-0.06,-3.366666667,-1.766,3.405,5.023333333,1.998,0,1,4,,,,,,,,,,,
HARPIA_20170215_071500.wav,"E:/For Sun - Full test dataset/Harpia 2017/2, 200/15 feb/HARPIA_20170215_071500.wav",-0.65,-3.25,-2.104,2.95,5.436666667,2.102,0,1,4,,,,,,,,,,,
HARPIA_20170217_070000.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, 400/17 feb/HARPIA_20170217_070000.wav",-0.025,-5.033333333,-3.306,4.255,8.103333333,1.75,0,1,4,,,,,,,,,,,
HARPIA_20170219_071500.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, 400/19 feb/HARPIA_20170219_071500.wav",-1.415,-3.23,-2.776,2.665,5.57,3.08,0,1,4,,,,,,,,,,,
PUMA_20130302_064500.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_064500.wav",-0.13,-8.983333333,-4.786,5.46,9.586666667,3.408,0,1,4,,,,,,,,,,,
PUMA_20130302_071500.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_071500.wav",0.385,-2.15,-1.23,2.8,4.596666667,1.974,0,1,4,,,,,,,,,,,
PUMA_20130302_073000.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_073000.wav",0.195,-3.64,-1.672,3.105,3.656666667,1.66,0,1,4,,,,,,,,,,,
PUMA_20130302_080000.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_080000.wav",-0.78,-2.766666667,-1.656,2.43,4.06,2.306,0,1,4,,,,,,,,,,,
PUMA_20130303_061500.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/3 mar 2013/PUMA_20130303_061500.wav",-0.35,-6.5,-3.716,4.53,8.093333333,2.268,0,1,4,,,,,,,,,,,
PUMA_20130305_073000.wav,"E:/For Sun - Full test dataset/Puma 2013/-3,200/5 march 2013/PUMA_20130305_073000.wav",0.55,-1.843333333,-0.986,1.89,1.39,0.114,0,1,4,,,,,,,,,,,
