audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies_dist_1-4,PrimateSpecies_dist_1-3,CallDistance
HARPIA_20160129_060000.wav,3.215,-4.383333333,-3.232857143,8.165,11.80333333,2.102857143,0,0,0,2,2,4
HARPIA_20140207_071500.wav,0.755,-5.973333333,-3.122857143,8.115,5.496666667,2.245714286,0,0,0,2,2,3
HARPIA_20170221_054500.wav,2.85,-4.753333333,-2.227142857,8.11,4.3,1.665714286,0,0,0,2,2,4
HARPIA_20130208_054500.wav,0.935,-4.35,-3.11,8.095,4.6,0.585714286,0,0,0,2,2,3
HARPIA_20170221_060000.wav,2.615,-3.12,-2.632857143,8.055,3.173333333,-0.138571429,0,0,0,2,2,4
HARPIA_20140205_060000.wav,1.505,-3.82,-4.085714286,8.035,5.476666667,0.322857143,0,0,0,2,2,3
HARPIA_20150207_061500.wav,1.835,-3.56,-2.921428571,8.02,4.556666667,0.891428571,0,0,0,2,2,3
HARPIA_20140205_061500.wav,3.495,-3.21,-3.494285714,8.01,4.693333333,0.697142857,0,0,0,2,2,3
PUMA_20140205_064500.wav,-1.17,-3.42,-2.601428571,7.945,5.296666667,3.042857143,0,0,0,1,0,4
HARPIA_20150211_080000.wav,-1.28,-3.47,-3.878571429,7.83,2.813333333,0.851428571,0,0,0,0,0,NA
HARPIA_20150208_060000.wav,-0.225,-4.833333333,-2.628571429,7.83,6.523333333,4.717142857,1,0,0,2,2,4
HARPIA_20150207_054500.wav,1.1,-3.646666667,-2.497142857,7.79,3.953333333,0.862857143,0,0,0,2,2,3
HARPIA_20140214_073000.wav,-0.435,-5.166666667,-2.762857143,7.76,8.27,2.424285714,0,0,0,2,2,3
HARPIA_20140214_074500.wav,-0.465,-5.636666667,-3.84,7.745,8.45,3.787142857,0,0,0,2,2,3
HARPIA_20140209_060000.wav,2.455,-3.33,-2.321428571,7.725,3.903333333,0.431428571,0,0,0,2,2,2
PUMA_20160223_064500.wav,1.8,-3.076666667,-2.558571429,7.7,2.766666667,0.214285714,0,0,0,2,2,3
HARPIA_20160203_054500.wav,-0.635,-4.126666667,-2.818571429,7.7,6.173333333,2.015714286,0,0,0,2,2,4
HARPIA_20160202_060000.wav,3.485,-3.293333333,-3.021428571,7.63,3.413333333,0.241428571,0,0,0,2,2,4
HARPIA_20140205_064500.wav,-0.265,-3,-3.67,7.62,4.083333333,1.667142857,0,0,0,0,0,NA
HARPIA_20150207_060000.wav,2.23,-3.42,-3.372857143,7.585,4.486666667,0.785714286,0,0,0,2,2,3
HARPIA_20160128_060000.wav,2.645,-3.326666667,-3.645714286,7.575,2.743333333,0.764285714,0,0,0,2,2,4
HARPIA_20140209_070000.wav,1.255,-3.263333333,-2.392857143,7.565,2.993333333,0.785714286,0,0,0,2,2,3
HARPIA_20160131_060000.wav,3.26,-3.24,-2.187142857,7.565,3.35,0.667142857,0,0,0,2,2,4
HARPIA_20140207_073000.wav,0.4,-5.34,-2.96,7.52,6.346666667,1.718571429,0,0,0,2,2,3
HARPIA_20150218_071500.wav,-1.665,-3.95,-2.492857143,7.49,6.876666667,2.267142857,0,0,0,2,2,NA
HARPIA_20160126_063000.wav,2.275,-3.773333333,-2.904285714,7.46,3.816666667,0.09,0,0,0,2,2,3
HARPIA_20160130_061500.wav,1.045,-4.743333333,-2.771428571,7.435,5.726666667,2.965714286,0,0,0,2,2,3
HARPIA_20160127_061500.wav,1.38,-3.723333333,-3.504285714,7.415,5.09,1,0,0,0,2,2,4
PUMA_20140206_060000.wav,2.18,-5.13,-2.95,7.335,6.633333333,1.482857143,0,0,0,2,2,4
PUMA_20140206_074500.wav,1.685,-3.476666667,-2.64,7.33,5.906666667,1.584285714,0,0,0,0,0,NA
HARPIA_20150218_073000.wav,-4.375,-4.753333333,-2.402857143,7.3,13.67333333,5.051428571,1,0,0,2,2,NA
HARPIA_20150218_061500.wav,2.18,-2.81,-3.615714286,7.29,3.95,-0.017142857,0,0,0,0,0,NA
HARPIA_20130210_061500.wav,1.215,-3.073333333,-6.062857143,7.285,3.34,-1.388571429,0,0,0,2,2,4
HARPIA_20170212_073000.wav,0.025,-3.996666667,-3.59,7.265,4.203333333,0.652857143,0,0,0,2,2,4
HARPIA_20150218_070000.wav,-4.195,-4.836666667,-3.055714286,7.225,7.703333333,2.52,0,0,0,2,2,3
HARPIA_20130225_060000.wav,0.46,-3.966666667,-4.862857143,7.2,5.413333333,1.575714286,0,0,0,0,0,NA
HARPIA_20140206_060000.wav,2.115,-3.203333333,-2.06,7.195,2.73,0.358571429,0,0,0,2,2,2
PUMA_20140206_061500.wav,0.765,-3.993333333,-2.644285714,7.185,7.783333333,2.035714286,0,0,0,0,0,NA
HARPIA_20140207_061500.wav,1.595,-3.63,-3.707142857,7.14,3.496666667,0.277142857,0,0,0,2,2,3
HARPIA_20140205_063000.wav,1.385,-3.446666667,-3.467142857,7.13,4.126666667,0.332857143,0,0,0,2,2,4
PUMA_20160223_063000.wav,-0.78,-4.1,-3.315714286,7.09,5.653333333,2.248571429,0,0,0,2,2,4
PUMA_20150211_080000.wav,-1.78,-3.066666667,-3.112857143,7.085,2.58,1.158571429,0,0,0,0,0,NA
HARPIA_20140206_080000.wav,-2.11,-2.386666667,-3.107142857,7.08,1.93,1.734285714,0,0,0,0,0,NA
HARPIA_20160126_073000.wav,1.91,-3.886666667,-2.954285714,7.04,4.126666667,0.328571429,0,0,0,2,2,NA
PUMA_20140211_061500.wav,-0.555,-3.263333333,-2.09,7.03,3.063333333,0.762857143,0,0,0,2,2,3
HARPIA_20140214_063000.wav,1.63,-3.97,-2.98,6.97,6.143333333,2.097142857,0,0,0,2,2,3
HARPIA_20160131_054500.wav,1.185,-3.736666667,-2.098571429,6.965,7.856666667,1.181428571,0,0,0,2,2,4
HARPIA_20160128_061500.wav,2.015,-4.02,-4.597142857,6.9,3.85,-0.471428571,0,0,0,2,2,4
HARPIA_20170215_061500.wav,-0.07,-4.73,-3.688571429,6.88,11.04666667,2.204285714,0,0,0,2,2,4
HARPIA_20140206_064500.wav,0.99,-2.12,-3.022857143,6.785,2.546666667,1.401428571,0,0,0,2,2,4
PUMA_20130303_054500.wav,-1.32,-11.28,-5.672857143,6.755,10.42,4.194285714,1,0,0,0,0,NA
HARPIA_20150218_060000.wav,1.04,-3.443333333,-3.082857143,6.725,3.87,0.188571429,0,0,0,0,0,NA
PUMA_20140206_063000.wav,-0.215,-4.856666667,-2.691428571,6.705,5.886666667,3.26,0,0,0,0,0,NA
HARPIA_20140206_071500.wav,0.79,-2.713333333,-3.26,6.65,1.933333333,2.144285714,0,0,0,2,2,3
HARPIA_20140213_061500.wav,1.035,-3.32,-4,6.645,3.666666667,0.478571429,0,0,0,2,2,4
PUMA_20130302_054500.wav,0.39,-2.746666667,-2.551428571,6.61,2.03,0.558571429,0,0,0,0,0,NA
HARPIA_20170215_054500.wav,0.63,-3.02,-1.962857143,6.595,2.966666667,1.647142857,0,0,0,2,2,4
HARPIA_20130225_061500.wav,1.705,-2.86,-4.171428571,6.565,2.6,-0.268571429,0,0,0,2,2,3
HARPIA_20150208_063000.wav,0.58,-3.033333333,-2.32,6.55,5.326666667,1.585714286,0,0,0,2,2,4
PUMA_20150216_061500.wav,-0.035,-2.87,-3.821428571,6.51,3.443333333,0.911428571,0,0,0,2,2,4
HARPIA_20160127_064500.wav,0.425,-4.31,-2.678571429,6.44,4.993333333,1.164285714,0,0,0,2,2,4
HARPIA_20170224_054500.wav,0.79,-4.18,-2.445714286,6.44,4.433333333,1.54,0,0,0,2,2,4
PUMA_20140207_061500.wav,1.94,-3.076666667,-2.411428571,6.43,4.636666667,1.085714286,0,0,0,3,0,4
PUMA_20140205_080000.wav,2.22,-2.99,-2.898571429,6.425,3.933333333,0.235714286,0,0,0,1,0,4
HARPIA_20130208_060000.wav,2.59,-2.4,-4.207142857,6.42,2.436666667,-0.345714286,0,0,0,2,2,4
HARPIA_20140217_060000.wav,3.095,-2.91,-2.761428571,6.42,2.583333333,3.97E-18,0,0,0,2,2,4
HARPIA_20160126_064500.wav,0.915,-3.87,-2.074285714,6.415,3.94,1.042857143,0,0,0,2,2,3
PUMA_20140206_073000.wav,2.29,-3.98,-2.45,6.38,5.416666667,0.887142857,0,0,0,0,0,NA
HARPIA_20140209_054500.wav,-0.135,-4.423333333,-1.987142857,6.375,4.156666667,4.511428571,1,0,0,2,2,3
HARPIA_20160127_063000.wav,-3.525,-5.096666667,-2.688571429,6.37,8.626666667,9.224285714,1,0,1,3,3,2
HARPIA_20130215_060000.wav,0.025,-4.696666667,-3.234285714,6.24,6.986666667,1.031428571,0,0,0,2,2,4
