Row Labels,Average of max.score,,,,,,,,,,,,,,
F0b,1.406378287,,,,,,,,,,,,,,
Howler,1.51693617,,,,,Template,Species,Distance 1 averave max.score,Distance 2 averave max.score,Distance 3 averave max.score,Distance 4 averave max.score,,,,
Titi,3.303235294,,,,,,,,,,,,,,
2,6.03,,,,,,,,,,,,,,
3,4.9875,,,,,,,,,,,,,,
4,2.586326531,,,,,,,,,,,,,,
Titi/Howler,2.997368421,,,,,,,,,,,,,,
2,6.61,,,,,,,,,,,,,,
3,5.625,,,,,,,,,,,,,,
4,2.443125,,,,,,,,,,,,,,
F6b,3.534291773,,,,,,,,,,,,,,
Howler,6.529531915,,,,,,,,,,,,,,
1,10.83625,,,,,,,,,,,,,,
2,9.472,,,,,,,,,,,,,,
3,7.534615385,,,,,,,,,,,,,,
4,5.408843537,,,,,,,,,,,,,,
(blank),8.016666667,,,,,,,,,,,,,,
None,2.632648775,,,,,,,,,,,,,,
4,6.7,,,,,,,,,,,,,,
(blank),2.627897196,,,,,,,,,,,,,,
Titi,3.811029412,,,,,,,,,,,,,,
2,4.163333333,,,,,,,,,,,,,,
3,3.101875,,,,,,,,,,,,,,
4,4.021020408,,,,,,,,,,,,,,
Titi/Howler,6.166315789,,,,,,,,,,,,,,
2,6.93,,,,,,,,,,,,,,
3,8.355,,,,,,,,,,,,,,
4,5.845,,,,,,,,,,,,,,
F7b,2.911136556,,,,,,,,,,,,,,
Howler,5.49412766,,,,,,,,,,,,,,
1,13.39875,,,,,,,,,,,,,,
2,9.3956,,,,,,,,,,,,,,
3,6.282692308,,,,,,,,,,,,,,
4,4.100204082,,,,,,,,,,,,,,
(blank),6.536666667,,,,,,,,,,,,,,
None,2.110431739,,,,,,,,,,,,,,
4,5.1,,,,,,,,,,,,,,
(blank),2.106939252,,,,,,,,,,,,,,
Titi,3.448823529,,,,,,,,,,,,,,
2,4.5,,,,,,,,,,,,,,
3,3.435625,,,,,,,,,,,,,,
4,3.38877551,,,,,,,,,,,,,,
Titi/Howler,5.155263158,,,,,,,,,,,,,,
2,5.81,,,,,,,,,,,,,,
3,7.775,,,,,,,,,,,,,,
4,4.786875,,,,,,,,,,,,,,
F8b,1.059677693,,,,,,,,,,,,,,
Howler,0.848808511,,,,,,,,,,,,,,
1,3.56125,,,,,,,,,,,,,,
2,1.1114,,,,,,,,,,,,,,
3,0.805192308,,,,,,,,,,,,,,
4,0.647244898,,,,,,,,,,,,,,
(blank),2.06,,,,,,,,,,,,,,
None,0.964288215,,,,,,,,,,,,,,
4,-0.66,,,,,,,,,,,,,,
(blank),0.966185748,,,,,,,,,,,,,,
Titi,2.535441176,,,,,,,,,,,,,,
2,5.683333333,,,,,,,,,,,,,,
3,3.509375,,,,,,,,,,,,,,
4,2.024693878,,,,,,,,,,,,,,
